X,Y,objectid,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
-111.836721,33.3807610000001,32576,"MESA (COUNTRY CLUB), AZ",3799,WM Supercenter,Retail,true,240 W BASELINE RD,MESA,MARICOPA,AZ,85210-6107,2,Open,,Y,Y,3799,No,Available,No,Available
-94.8035369999999,33.898013,32579,IDABEL OK,38,WM Supercenter,Retail,true,1907 SE WASHINGTON ST,IDABEL,MCCURTAIN,OK,74745-5253,5,Open,,Y,Y,38,No,,Yes,Available
-82.550264,27.3667330000001,32580,SARASOTA FL,3066,Neighborhood Market,Retail,true,3500 N TAMIAMI TRAIL,SARASOTA,SARASOTA,FL,34234-5358,2,Open,,Y,Y,3066,No,,No,
-84.041709,34.3549550000001,32581,"DAWSONVILLE, GA",3874,WM Supercenter,Retail,true,98 POWER CENTER DR,DAWSONVILLE,DAWSON,GA,30534-9431,2,Open,,Y,Y,3874,No,,No,Not Available
-84.194169,33.894795,32583,NORCROSS E GA,3067,WM Supercenter,Retail,true,4975 JIMMY CARTER BLVD,NORCROSS,GWINNETT,GA,30093-3535,2,Open,,Y,Y,3067,No,Available,Yes,Available
-96.629941,46.2839010000001,32584,"WAHPETON, ND",3875,WM Supercenter,Retail,true,1625 COMMERCE DR,WAHPETON,RICHLAND,ND,58075-3168,2,Open,,Y,Y,3875,No,,Yes,
-86.2666609999999,43.192887,32587,"MUSKEGON (W), MI",3876,WM Supercenter,Retail,true,3285 HENRY ST,MUSKEGON,MUSKEGON,MI,49441-4019,2,Open,,Y,Y,3876,No,,No,
-82.301116,29.6639230000001,32588,"GAINSVILLE (WALDO), FL",3877,WM Supercenter,Retail,true,1800 NE 12TH AVE,GAINESVILLE,ALACHUA,FL,32641-4610,2,Open,,Y,Y,3877,Yes,,Yes,
-84.463068,33.980911,32589,MARIETTA OLD CANTON GA,3069,Neighborhood Market,Retail,true,3101 ROSWELL RD,MARIETTA,COBB,GA,30062-7621,2,Open,,Y,Y,3069,No,,No,
-122.112572,48.0556510000001,32590,"MARYSVILLE (E), WA",3801,WM Supercenter,Retail,true,8713 64TH ST NE,MARYSVILLE,SNOHOMISH,WA,98270-7704,2,Open,,Y,Y,3801,Yes,Available,Yes,Available
-92.154478,32.508177,32592,W MONROE LA,307,WM Supercenter,Retail,true,1025 GLENWOOD DR,WEST MONROE,OUACHITA,LA,71291-5501,5,Open,,Y,Y,307,Yes,Available,Yes,Available
-75.737871,39.446329,32593,"MIDDLETOWN (W), DE",3802,WM Supercenter,Retail,true,705 MIDDLETOWN WARWICK RD,MIDDLETOWN,NEW CASTLE,DE,19709-9095,2,Open,,Y,Y,3802,No,,Yes,Not Available
